PassengerId,Survived,Person_class,Sex,Age,Fare,Embarked,Family_members,Alone
1,False,3,male,22.0,7.25,Southampton,1,False
2,True,1,female,38.0,71.28,Cherbourg,1,False
3,True,3,female,26.0,7.92,Southampton,0,True
4,True,1,female,35.0,53.1,Southampton,1,False
5,False,3,male,35.0,8.05,Southampton,0,True
6,False,3,male,25.0,8.46,Queenstown,0,True
7,False,1,male,54.0,51.86,Southampton,0,True
8,False,3,male,2.0,21.08,Southampton,4,False
9,True,3,female,27.0,11.13,Southampton,2,False
10,True,2,female,14.0,30.07,Cherbourg,1,False
11,True,3,female,4.0,16.7,Southampton,2,False
12,True,1,female,58.0,26.55,Southampton,0,True
13,False,3,male,20.0,8.05,Southampton,0,True
14,False,3,male,39.0,31.28,Southampton,6,False
15,False,3,female,14.0,7.85,Southampton,0,True
16,True,2,female,55.0,16.0,Southampton,0,True
17,False,3,male,2.0,29.12,Queenstown,5,False
18,True,2,male,30.0,13.0,Southampton,0,True
19,False,3,female,31.0,18.0,Southampton,1,False
20,True,3,female,22.0,7.22,Cherbourg,0,True
21,False,2,male,35.0,26.0,Southampton,0,True
22,True,2,male,34.0,13.0,Southampton,0,True
23,True,3,female,15.0,8.03,Queenstown,0,True
24,True,1,male,28.0,35.5,Southampton,0,True
25,False,3,female,8.0,21.08,Southampton,4,False
26,True,3,female,38.0,31.39,Southampton,6,False
27,False,3,male,25.0,7.22,Cherbourg,0,True
28,False,1,male,19.0,263.0,Southampton,5,False
29,True,3,female,22.0,7.88,Queenstown,0,True
30,False,3,male,25.0,7.9,Southampton,0,True
31,False,1,male,40.0,27.72,Cherbourg,0,True
32,True,1,female,35.0,146.52,Cherbourg,1,False
33,True,3,female,22.0,7.75,Queenstown,0,True
34,False,2,male,66.0,10.5,Southampton,0,True
35,False,1,male,28.0,82.17,Cherbourg,1,False
36,False,1,male,42.0,52.0,Southampton,1,False
37,True,3,male,25.0,7.23,Cherbourg,0,True
38,False,3,male,21.0,8.05,Southampton,0,True
39,False,3,female,18.0,18.0,Southampton,2,False
40,True,3,female,14.0,11.24,Cherbourg,1,False
41,False,3,female,40.0,9.48,Southampton,1,False
42,False,2,female,27.0,21.0,Southampton,1,False
43,False,3,male,25.0,7.9,Cherbourg,0,True
44,True,2,female,3.0,41.58,Cherbourg,3,False
45,True,3,female,19.0,7.88,Queenstown,0,True
46,False,3,male,25.0,8.05,Southampton,0,True
